assessment_id,date,school_id,grade,subject,grading_scale,avg_score,max_marks,total_students_assessed,score_100
TST006508,2026-01-31,SCH0021,8,Mathematics,CGPA,6.8,10,127,68.0
TST001708,2026-03-26,SCH0246,5,Mathematics,CGPA,5.7,10,47,57.0
TST002651,2025-04-21,SCH0434,3,Punjabi,Raw Marks,51.1/100,100,110,51.1
TST004511,2025-12-19,SCH0338,4,Mathematics,%,44.5%,100,95,44.5
TST000153,2026-02-13,SCH0596,8,English,Raw Marks,92.5/100,100,129,92.5
TST000281,2025-08-24,SCH0039,5,Science,Letter Grade,D,NA,48,60.0
TST001414,2026-12-01,SCH0502,3,Mathematics,%,77.8%,100,42,77.8
TST000199,2025-12-01,SCH0557,5,Punjabi,CGPA,5.3,10,136,53.0
TST005707,2025-03-09,SCH0434,6,English,Letter Grade,A,NA,87,90.0
TST006980,2026-01-19,SCH0144,4,Mathematics,CGPA,9.4,10,73,94.0
TST006040,2025-07-26,SCH0025,7,Science,Letter Grade,B,NA,21,80.0
TST001218,2025-10-15,SCH0004,4,Hindi,Percentage,93.7%,100,29,93.7
TST004560,2025-07-24,SCH0498,4,Science,Letter Grade,B,NA,121,80.0
TST005452,2025-09-17,SCH0368,5,Science,Letter Grade,D,NA,121,60.0
TST000568,2025-09-17,SCH0386,5,Mathematics,Raw Marks,16.4/25,25,51,65.6
TST006805,2026-03-03,SCH0560,5,Mathematics,pct,45.1%,100,133,45.1
TST006539,2025-07-21,SCH0057,3,Mathematics,Raw Marks,33.8/50,50,62,67.6
TST006466,2025-04-30,SCH0156,6,Mathematics,Raw Marks,46.0/50,50,57,92.0
TST002093,2026-01-15,SCH0087,5,Mathematics,%,82.5%,100,141,82.5
TST005633,2025-04-06,SCH0325,3,Science,Letter Grade,B,NA,42,80.0
TST000615,2026-03-21,SCH0435,6,English,Raw Marks,25.8/50,50,111,51.6
TST007732,2026-01-23,SCH0395,4,Mathematics,%,91.2%,100,67,91.2
TST005814,2025-09-04,SCH0469,4,English,%,51.8%,100,130,51.8
TST005403,2026-02-06,SCH0462,5,Mathematics,%,88.5%,100,144,88.5
TST002497,2025-08-28,SCH0464,3,Mathematics,Letter Grade,C,NA,41,70.0
TST007136,2025-12-10,SCH0300,7,Hindi,Letter Grade,D,NA,26,60.0
TST000187,2025-09-01,SCH0153,7,Mathematics,Letter Grade,B,NA,140,80.0
TST001232,2026-02-28,SCH0185,6,Mathematics,%,40.6%,100,90,40.6
TST006735,2025-12-14,SCH0370,8,Mathematics,Raw Marks,82.2/100,100,46,82.2
TST001635,2025-10-25,SCH0245,5,Punjabi,%,83.1%,100,118,83.1
TST002682,2026-10-01,SCH0241,5,Mathematics,Raw Marks,59.3/100,100,136,59.3
TST006525,2026-01-31,SCH0160,8,Mathematics,CGPA,7.5,10,24,75.0
TST002769,2025-07-20,SCH0250,3,Punjabi,Raw Marks,36.1/50,50,72,72.2
TST007425,2025-11-20,SCH0547,7,Punjabi,Letter Grade,C,NA,29,70.0
TST000990,2026-03-01,SCH0388,4,Mathematics,Letter Grade,B,NA,69,80.0
TST000683,2026-07-01,SCH0524,5,Mathematics,%,57.4%,100,109,57.4
TST003736,2025-04-09,SCH0077,7,Mathematics,Letter Grade,D,NA,65,60.0
TST004124,2025-06-20,SCH0444,6,Punjabi,%,61.5%,100,44,61.5
TST006141,2026-01-27,SCH0147,5,EVS,Letter Grade,D,NA,43,60.0
TST001359,2026-01-30,SCH0459,5,Mathematics,CGPA,6.4,10,45,64.0
TST001749,2025-08-05,SCH0186,4,Mathematics,Letter Grade,E,NA,46,50.0
TST005086,2025-12-14,SCH0419,4,English,Letter Grade,C,NA,75,70.0
TST005625,2025-07-15,SCH0386,3,Mathematics,CGPA,7.8,10,128,78.0
TST001045,2025-12-17,SCH0222,6,EVS,Letter Grade,B,NA,140,80.0
TST007451,2026-02-18,SCH0466,7,Mathematics,Raw Marks,22.5/25,25,91,90.0
TST003152,2025-04-26,SCH0302,4,Punjabi,Raw Marks,33.5/50,50,64,67.0
TST000630,2025-11-28,SCH0186,5,EVS,Raw Marks,14.8/25,25,122,59.20000000000001
TST005903,2025-08-02,SCH0002,7,English,Percentage,44.9%,100,138,44.9
TST006292,2025-10-11,SCH0242,8,Science,Raw Marks,21.4/25,25,107,85.6
TST004741,2025-11-11,SCH0476,5,English,Letter Grade,E,NA,73,50.0
TST005871,2025-07-26,SCH0518,8,Mathematics,Raw Marks,19.4/25,25,62,77.6
TST000485,2025-09-28,SCH0220,6,English,CGPA,4.4,10,34,44.0
TST001156,2026-01-07,SCH0288,3,Hindi,Letter Grade,C,NA,116,70.0
TST004667,2025-09-26,SCH0325,6,EVS,Raw Marks,22.6/25,25,57,90.4
TST003027,2025-11-08,SCH0047,6,Punjabi,Letter Grade,D,NA,79,60.0
TST003352,2025-11-10,SCH0505,7,Mathematics,Raw Marks,21.6/25,25,129,86.4
TST000902,2026-06-03,SCH0594,4,Mathematics,CGPA,6.3,10,45,63.0
TST007105,2025-04-17,SCH0136,3,Punjabi,Raw Marks,21.6/50,50,150,43.2
TST004077,2025-11-24,SCH0076,8,Mathematics,Raw Marks,22.1/50,50,125,44.2
TST000342,2025-06-26,SCH0557,4,Mathematics,pct,87.8%,100,58,87.8
TST000922,2025-10-06,SCH0073,6,Science,CGPA,8.8,10,94,88.0
TST004301,2025-01-11,SCH0167,4,Mathematics,Raw Marks,37.1/50,50,50,74.2
TST007254,2025-08-01,SCH0013,5,Mathematics,Percentage,77.6%,100,44,77.6
TST000021,2026-03-02,SCH0148,7,Mathematics,Raw Marks,40.9/50,50,26,81.8
TST007555,2025-04-12,SCH0148,5,Hindi,CGPA,5.6,10,112,56.0
TST006580,2025-06-26,SCH0177,6,English,Letter Grade,D,NA,135,60.0
TST005533,2025-08-26,SCH0268,6,Punjabi,Raw Marks,22.0/50,50,141,44.0
TST003829,2026-01-02,SCH0198,6,Hindi,Raw Marks,83.4/100,100,75,83.4
TST002718,2025-06-24,SCH0324,5,English,pct,52.0%,100,33,52.0
TST000422,2026-02-11,SCH0491,5,Mathematics,%,59.5%,100,121,59.5
TST007576,2025-07-27,SCH0519,7,Mathematics,Percentage,91.2%,100,126,91.2
TST000267,2025-08-07,SCH0325,7,Mathematics,pct,64.8%,100,123,64.8
TST003921,2025-05-21,SCH0279,3,Punjabi,Letter Grade,B,NA,102,80.0
TST006680,2025-04-22,SCH0231,3,Punjabi,Letter Grade,D,NA,50,60.0
TST005342,2025-05-28,SCH0228,8,Mathematics,Letter Grade,D,NA,53,60.0
TST001734,2025-09-06,SCH0386,6,Punjabi,CGPA,5.5,10,37,55.0
TST000796,2025-04-27,SCH0091,3,Hindi,Letter Grade,E,NA,72,50.0
TST006196,2025-07-16,SCH0240,3,EVS,CGPA,7.6,10,114,76.0
TST002533,2025-11-10,SCH0080,4,Science,CGPA,6.0,10,63,60.0
TST000279,2026-09-02,SCH0062,3,Punjabi,CGPA,7.4,10,24,74.0
TST001487,2025-06-22,SCH0496,5,Mathematics,%,63.4%,100,49,63.4
TST003487,2025-09-12,SCH0498,3,EVS,Letter Grade,B,NA,64,80.0
TST002575,2025-05-23,SCH0005,3,Science,pct,79.5%,100,101,79.5
TST005887,2025-08-15,SCH0078,8,Science,CGPA,8.8,10,53,88.0
TST002881,2026-01-14,SCH0384,4,English,pct,66.7%,100,39,66.7
TST001687,2025-10-02,SCH0277,5,Mathematics,Letter Grade,B,NA,89,80.0
TST006057,2025-08-12,SCH0160,4,English,%,86.8%,100,26,86.8
TST007969,2025-04-26,SCH0379,3,Mathematics,Percentage,93.2%,100,71,93.2
TST003094,2025-08-11,SCH0433,4,Punjabi,Raw Marks,15.7/25,25,142,62.8
TST007029,2025-06-18,SCH0191,5,EVS,Letter Grade,D,NA,82,60.0
TST005948,2025-09-12,SCH0222,6,Mathematics,%,64.0%,100,71,64.0
TST003191,2025-07-20,SCH0215,7,Science,Raw Marks,93.7/100,100,144,93.7
TST002836,2025-06-09,SCH0122,7,Mathematics,Raw Marks,34.0/50,50,108,68.0
TST003059,2025-09-15,SCH0507,6,Punjabi,Letter Grade,A+,NA,71,95.0
TST005489,2025-10-24,SCH0285,6,Mathematics,CGPA,6.6,10,120,66.0
TST002434,2025-07-06,SCH0215,8,English,pct,69.5%,100,27,69.5
TST000624,2025-09-24,SCH0377,4,English,Raw Marks,13.8/25,25,35,55.2
TST005077,2026-02-24,SCH0230,3,Punjabi,Raw Marks,17.9/25,25,64,71.6
TST007590,2025-04-25,SCH0197,8,Science,CGPA,5.3,10,81,53.0
TST005274,2025-04-12,SCH0206,8,Mathematics,pct,40.4%,100,123,40.4
TST007853,2025-04-02,SCH0325,3,EVS,CGPA,5.2,10,115,52.0
TST000874,2025-06-27,SCH0142,6,English,Letter Grade,D,NA,122,60.0
TST007342,2025-10-13,SCH0392,8,Mathematics,Letter Grade,B,NA,120,80.0
TST000448,2025-06-26,SCH0070,8,Hindi,pct,86.6%,100,94,86.6
TST001298,2025-07-26,SCH0230,4,Mathematics,%,93.1%,100,107,93.1
TST004166,2025-09-06,SCH0367,3,English,pct,59.3%,100,103,59.3
TST002117,2026-03-15,SCH0062,7,Mathematics,Raw Marks,26.8/50,50,20,53.6
TST002280,2026-12-03,SCH0235,7,Mathematics,Letter Grade,B,NA,66,80.0
TST001537,2025-11-18,SCH0103,4,EVS,CGPA,8.8,10,110,88.0
TST002866,2025-05-31,SCH0409,5,Mathematics,pct,41.4%,100,111,41.4
TST001225,2026-03-31,SCH0229,7,Mathematics,Percentage,91.9%,100,43,91.9
TST003976,2026-11-03,SCH0019,3,Mathematics,Letter Grade,A,NA,23,90.0
TST007962,2026-02-23,SCH0023,6,English,Percentage,72.4%,100,41,72.4
TST002308,2025-05-16,SCH0452,3,Punjabi,Raw Marks,84.1/100,100,110,84.1
TST007316,2025-07-29,SCH0448,5,Mathematics,Letter Grade,B,NA,69,80.0
TST001819,2025-09-26,SCH0166,5,Mathematics,Raw Marks,23.4/50,50,35,46.8
TST007515,2026-01-10,SCH0339,6,Hindi,Raw Marks,59.8/100,100,29,59.8
TST006814,2025-04-28,SCH0133,8,Mathematics,Raw Marks,70.1/100,100,88,70.1
TST007176,2026-02-10,SCH0052,8,English,CGPA,9.1,10,52,91.0
TST005985,2025-10-30,SCH0224,8,EVS,Raw Marks,20.5/50,50,147,41.0
TST000684,2025-08-24,SCH0012,5,Hindi,Letter Grade,A+,NA,122,95.0
TST004343,2025-05-04,SCH0066,3,Punjabi,Letter Grade,B,NA,92,80.0
TST006750,2026-01-03,SCH0457,7,Mathematics,Raw Marks,80.0/100,100,121,80.0
TST005320,2025-11-05,SCH0045,5,Mathematics,%,40.9%,100,124,40.9
TST006440,2025-09-02,SCH0100,5,Hindi,Letter Grade,D,NA,68,60.0
TST005401,2025-11-29,SCH0389,5,Hindi,Letter Grade,B,NA,29,80.0
TST006866,2025-10-15,SCH0517,4,Hindi,Letter Grade,A,NA,133,90.0
TST005237,2026-03-29,SCH0104,7,Punjabi,Letter Grade,C,NA,31,70.0
TST006304,2025-11-08,SCH0592,7,English,pct,58.2%,100,80,58.2
TST001307,2025-08-31,SCH0483,3,Mathematics,CGPA,6.7,10,109,67.0
TST001377,2025-07-07,SCH0245,3,Science,Percentage,54.6%,100,62,54.6
TST003741,2025-12-15,SCH0050,5,EVS,Raw Marks,20.0/25,25,20,80.0
TST004479,2025-07-10,SCH0600,6,Punjabi,CGPA,7.1,10,142,71.0
TST005605,2025-05-02,SCH0154,7,Mathematics,CGPA,6.5,10,81,65.0
TST002501,2025-12-05,SCH0121,3,Mathematics,CGPA,9.1,10,63,91.0
TST003376,2025-08-07,SCH0149,4,Mathematics,Raw Marks,23.1/25,25,122,92.4
TST005312,2025-10-23,SCH0133,6,Mathematics,Letter Grade,B,NA,61,80.0
TST007602,2026-01-16,SCH0129,3,Science,Raw Marks,42.4/100,100,79,42.4
TST001066,2025-09-25,SCH0302,6,Science,Raw Marks,89.8/100,100,63,89.8
TST005942,2025-09-07,SCH0170,5,Mathematics,Raw Marks,19.1/25,25,106,76.4
TST001191,2026-02-19,SCH0263,4,English,pct,62.1%,100,60,62.1
TST007090,2025-08-26,SCH0262,3,English,CGPA,8.0,10,73,80.0
TST004862,2025-06-13,SCH0259,6,Mathematics,Raw Marks,17.4/25,25,51,69.6
TST003879,2025-04-07,SCH0526,5,EVS,Percentage,61.6%,100,124,61.6
TST006552,2026-03-03,SCH0091,4,English,pct,48.7%,100,98,48.7
TST001730,2025-11-01,SCH0598,5,Mathematics,pct,93.3%,100,126,93.3
TST000101,2025-04-25,SCH0288,3,Mathematics,Letter Grade,C,NA,41,70.0
TST007129,2025-05-19,SCH0581,7,Hindi,Letter Grade,B,NA,141,80.0
TST003473,2025-10-31,SCH0594,6,Science,%,53.0%,100,89,53.0
TST006339,2025-05-18,SCH0022,5,EVS,pct,79.7%,100,133,79.7
TST001980,2025-12-28,SCH0120,4,Mathematics,Percentage,71.0%,100,142,71.0
TST007986,2025-12-17,SCH0112,6,Mathematics,pct,91.1%,100,143,91.1
TST005340,2025-10-29,SCH0546,3,Hindi,Raw Marks,22.0/25,25,53,88.0
TST002572,2025-11-19,SCH0182,8,EVS,CGPA,9.2,10,77,92.0
TST000583,2025-09-17,SCH0086,3,Mathematics,Raw Marks,38.0/50,50,67,76.0
TST002200,2025-01-04,SCH0103,5,EVS,Letter Grade,D,NA,64,60.0
TST006174,2025-09-10,SCH0185,5,Science,CGPA,5.5,10,92,55.0
TST003890,2026-03-13,SCH0453,3,Science,Raw Marks,33.1/50,50,139,66.2
TST003945,2026-09-02,SCH0444,5,Science,pct,77.6%,100,68,77.6
TST005282,2026-02-19,SCH0025,8,Mathematics,Percentage,86.8%,100,88,86.8
TST005914,2025-11-22,SCH0412,8,Science,%,65.5%,100,123,65.5
TST007862,2025-05-12,SCH0174,5,Mathematics,CGPA,8.4,10,63,84.0
TST000814,2025-12-14,SCH0377,3,Science,Letter Grade,B,NA,40,80.0
TST003758,2025-06-27,SCH0042,3,EVS,Letter Grade,A+,NA,97,95.0
TST000264,2025-04-19,SCH0414,7,Mathematics,Raw Marks,46.8/50,50,94,93.6
TST006778,2025-05-19,SCH0203,5,Science,CGPA,8.1,10,52,81.0
TST004078,2026-03-17,SCH0232,5,EVS,CGPA,7.1,10,147,71.0
TST000616,2025-06-16,SCH0378,6,Mathematics,CGPA,5.5,10,150,55.0
TST004315,2025-07-15,SCH0482,4,Mathematics,Raw Marks,46.5/50,50,126,93.0
TST005661,2025-01-08,SCH0482,6,English,CGPA,7.0,10,130,70.0
TST000374,2025-09-07,SCH0308,8,Science,CGPA,4.4,10,119,44.0
TST002049,2026-01-08,SCH0219,4,Hindi,CGPA,7.6,10,33,76.0
TST003254,2026-03-01,SCH0551,6,Mathematics,Raw Marks,32.6/50,50,73,65.2
TST001677,2025-12-05,SCH0048,6,Mathematics,Letter Grade,C,NA,141,70.0
TST001450,2025-05-13,SCH0555,7,English,CGPA,8.9,10,99,89.0
TST006950,2025-11-30,SCH0271,5,English,Raw Marks,13.7/25,25,112,54.79999999999999
TST005004,2025-09-03,SCH0181,5,Science,pct,72.0%,100,95,72.0
TST005601,2025-11-04,SCH0191,4,Science,Raw Marks,77.0/100,100,150,77.0
TST002508,2025-11-20,SCH0267,7,Mathematics,pct,53.4%,100,88,53.4
TST006687,2025-11-10,SCH0592,3,Science,Raw Marks,81.4/100,100,85,81.4
TST004620,2025-10-24,SCH0205,8,Punjabi,CGPA,8.9,10,123,89.0
TST005662,2026-02-20,SCH0252,4,Hindi,CGPA,4.4,10,137,44.0
TST000856,2026-02-10,SCH0391,5,Punjabi,CGPA,7.5,10,150,75.0
TST006547,2025-10-10,SCH0136,6,English,Percentage,50.1%,100,75,50.1
TST004690,2025-09-05,SCH0402,6,Mathematics,Letter Grade,D,NA,95,60.0
TST000633,2025-12-09,SCH0357,4,Mathematics,pct,71.5%,100,105,71.5
TST004300,2026-01-14,SCH0434,6,Mathematics,Letter Grade,A,NA,84,90.0
TST003344,2025-10-27,SCH0278,3,English,Letter Grade,D,NA,74,60.0
TST003721,2025-09-04,SCH0504,5,Hindi,Letter Grade,A+,NA,76,95.0
TST003471,2026-01-16,SCH0347,6,Mathematics,Raw Marks,45.9/50,50,104,91.8
TST006396,2026-03-04,SCH0215,7,English,pct,85.2%,100,65,85.2
TST005286,2025-07-31,SCH0296,3,Mathematics,Raw Marks,30.9/50,50,67,61.8
TST005222,2025-03-06,SCH0244,5,Science,Raw Marks,22.9/50,50,29,45.8
TST005789,2025-11-17,SCH0292,8,EVS,Raw Marks,46.1/50,50,56,92.2
TST004733,2025-09-03,SCH0151,5,Mathematics,Letter Grade,C,NA,60,70.0
TST007589,2025-12-14,SCH0489,7,EVS,pct,74.9%,100,27,74.9
TST003913,2025-08-22,SCH0424,8,Punjabi,CGPA,8.3,10,25,83.0
TST003336,2025-08-12,SCH0311,7,EVS,%,83.2%,100,31,83.2
TST006390,2025-07-10,SCH0266,6,Mathematics,Percentage,46.8%,100,109,46.8
TST000237,2025-09-29,SCH0144,3,Hindi,CGPA,6.2,10,149,62.0
TST005228,2026-01-20,SCH0027,6,Hindi,Raw Marks,62.2/100,100,45,62.2
TST005410,2025-09-22,SCH0224,6,Hindi,Letter Grade,C,NA,138,70.0
TST005262,2025-10-02,SCH0002,7,English,Raw Marks,44.7/50,50,32,89.4
TST001789,2026-02-11,SCH0311,7,Punjabi,Raw Marks,18.6/25,25,93,74.4
TST006234,2025-10-04,SCH0486,8,Punjabi,Letter Grade,C,NA,66,70.0
TST005450,2025-09-23,SCH0083,7,Punjabi,Percentage,61.1%,100,72,61.1
TST001887,2025-08-12,SCH0075,3,English,Raw Marks,45.2/50,50,64,90.4
TST007157,2025-10-02,SCH0443,8,Punjabi,Letter Grade,D,NA,144,60.0
TST000234,2026-01-13,SCH0252,7,EVS,CGPA,7.2,10,135,72.0
TST007036,2025-12-07,SCH0350,6,Mathematics,Percentage,77.7%,100,133,77.7
TST003986,2025-06-10,SCH0327,6,Mathematics,pct,67.7%,100,80,67.7
TST006346,2025-10-09,SCH0109,6,Hindi,pct,48.7%,100,92,48.7
TST003562,2025-12-03,SCH0575,4,English,CGPA,4.0,10,49,40.0
TST001286,2025-02-12,SCH0437,3,Punjabi,Raw Marks,64.9/100,100,96,64.9
TST002618,2025-08-27,SCH0284,8,Hindi,Letter Grade,D,NA,92,60.0
TST006689,2026-11-03,SCH0370,8,Hindi,%,52.5%,100,144,52.5
TST006902,2025-12-07,SCH0052,5,Science,%,79.2%,100,102,79.2
TST000908,2025-07-17,SCH0459,7,Punjabi,pct,50.9%,100,79,50.9
TST005475,2025-05-14,SCH0233,3,Hindi,Letter Grade,D,NA,25,60.0
TST005473,2025-11-11,SCH0575,5,Science,%,56.7%,100,37,56.7
TST003270,2025-05-05,SCH0387,8,EVS,CGPA,9.2,10,138,92.0
TST001691,2025-02-12,SCH0022,4,Mathematics,Raw Marks,45.5/50,50,129,91.0
TST002827,2025-12-17,SCH0114,6,Punjabi,Letter Grade,D,NA,149,60.0
TST003625,2025-10-15,SCH0514,8,EVS,Raw Marks,17.4/25,25,79,69.6
TST000110,2025-10-01,SCH0140,4,Hindi,CGPA,4.3,10,75,43.0
TST006443,2025-04-04,SCH0089,3,Mathematics,Raw Marks,69.5/100,100,137,69.5
TST002905,2025-05-19,SCH0428,8,English,Letter Grade,D,NA,108,60.0
TST002624,2025-08-04,SCH0260,3,Mathematics,Raw Marks,12.2/25,25,112,48.8
TST005223,2025-08-22,SCH0357,5,Science,pct,84.7%,100,108,84.7
TST003301,2025-10-15,SCH0416,4,Hindi,Letter Grade,A+,NA,54,95.0
TST005992,2025-05-30,SCH0145,3,Mathematics,%,48.6%,100,84,48.6
TST001390,2025-11-07,SCH0155,8,English,pct,42.7%,100,50,42.7
TST002060,2025-10-29,SCH0154,4,Hindi,CGPA,7.1,10,90,71.0
TST002240,2025-11-07,SCH0082,5,English,Percentage,52.7%,100,35,52.7
TST000572,2025-09-05,SCH0455,8,Hindi,Raw Marks,56.0/100,100,28,56.00000000000001
TST004610,2025-05-04,SCH0327,8,Mathematics,Letter Grade,B,NA,56,80.0
TST004021,2025-04-12,SCH0258,5,Mathematics,Raw Marks,83.4/100,100,105,83.4
TST001354,2025-11-14,SCH0373,5,Hindi,Letter Grade,E,NA,59,50.0
TST001996,2026-01-15,SCH0226,7,Mathematics,%,73.3%,100,149,73.3
TST004119,2025-06-09,SCH0264,8,Punjabi,Percentage,60.5%,100,138,60.5
TST000524,2025-12-30,SCH0018,4,Punjabi,Percentage,42.8%,100,70,42.8
TST007053,2025-08-24,SCH0048,7,Hindi,CGPA,6.9,10,114,69.0
TST001530,2026-05-03,SCH0495,4,Mathematics,Percentage,40.1%,100,29,40.1
TST001167,2025-09-18,SCH0507,3,Hindi,Raw Marks,33.8/50,50,35,67.6
TST000533,2025-10-19,SCH0510,4,Mathematics,CGPA,6.5,10,67,65.0
TST006887,2025-04-21,SCH0593,3,Mathematics,Raw Marks,16.9/25,25,70,67.6
TST007229,2025-10-20,SCH0007,8,EVS,Letter Grade,C,NA,63,70.0
TST001742,2026-01-27,SCH0198,4,Hindi,Percentage,81.9%,100,32,81.9
TST004832,2025-06-06,SCH0068,7,Mathematics,CGPA,4.4,10,146,44.0
TST005624,2025-12-24,SCH0332,5,Punjabi,Letter Grade,B,NA,46,80.0
TST003496,2025-08-23,SCH0498,8,Mathematics,CGPA,4.8,10,114,48.0
TST007567,2025-05-24,SCH0256,8,Mathematics,CGPA,8.5,10,139,85.0
TST006385,2025-11-26,SCH0396,8,Punjabi,Letter Grade,E,NA,65,50.0
TST006257,2025-11-10,SCH0299,8,Punjabi,Letter Grade,B,NA,21,80.0
TST006588,2025-04-24,SCH0237,3,English,Letter Grade,D,NA,93,60.0
TST004414,2025-06-08,SCH0467,4,EVS,CGPA,7.5,10,75,75.0
TST005600,2026-02-25,SCH0334,7,Mathematics,%,63.8%,100,42,63.8
TST004249,2025-10-20,SCH0174,8,Mathematics,CGPA,4.8,10,59,48.0
TST001572,2025-06-17,SCH0404,4,English,CGPA,8.4,10,36,84.0
TST001609,2025-04-18,SCH0041,5,Mathematics,Raw Marks,73.5/100,100,39,73.5
TST004281,2025-07-14,SCH0188,3,Mathematics,%,65.9%,100,122,65.9
TST003390,2025-04-14,SCH0383,8,Mathematics,Raw Marks,59.1/100,100,125,59.099999999999994
TST001948,2025-11-20,SCH0215,5,Mathematics,CGPA,5.2,10,59,52.0
TST002756,2025-05-02,SCH0179,3,Mathematics,Percentage,54.8%,100,135,54.8
TST001565,2025-11-11,SCH0569,3,Mathematics,CGPA,9.3,10,85,93.0
TST007981,2025-06-12,SCH0284,4,Punjabi,CGPA,4.9,10,41,49.0
TST005983,2026-11-01,SCH0065,6,Punjabi,Letter Grade,C,NA,63,70.0
TST002458,2026-01-03,SCH0287,7,EVS,pct,78.9%,100,21,78.9
TST006854,2026-03-20,SCH0272,7,Punjabi,pct,46.1%,100,44,46.1
TST003791,2026-03-26,SCH0418,4,Science,CGPA,7.8,10,149,78.0
TST003715,2025-07-24,SCH0583,3,Mathematics,Letter Grade,D,NA,83,60.0
TST003942,2025-10-18,SCH0085,4,Mathematics,Percentage,78.9%,100,37,78.9
TST002222,2025-12-27,SCH0390,3,Mathematics,pct,44.2%,100,139,44.2
TST006763,2025-08-24,SCH0371,7,EVS,Letter Grade,A+,NA,127,95.0
TST006187,2025-05-16,SCH0004,8,English,Percentage,42.8%,100,136,42.8
TST006823,2025-08-13,SCH0245,7,Punjabi,Raw Marks,38.9/50,50,52,77.8
TST004235,2026-01-19,SCH0557,5,Hindi,CGPA,6.2,10,36,62.0
TST002347,2026-01-23,SCH0171,7,Mathematics,Raw Marks,64.0/100,100,77,64.0
TST007946,2025-09-19,SCH0084,7,English,CGPA,4.8,10,53,48.0
TST001518,2026-03-30,SCH0213,4,English,%,41.3%,100,128,41.3
TST005147,2026-03-31,SCH0522,4,Punjabi,Raw Marks,20.0/25,25,85,80.0
TST000108,2025-08-23,SCH0136,8,Hindi,Letter Grade,B,NA,133,80.0
TST002735,2025-05-20,SCH0218,4,Mathematics,Raw Marks,24.6/50,50,44,49.2
TST002884,2025-10-16,SCH0055,3,Hindi,CGPA,5.6,10,107,56.0
TST003394,2026-03-10,SCH0378,8,EVS,CGPA,9.1,10,56,91.0
TST001556,2025-07-29,SCH0098,4,EVS,Letter Grade,E,NA,44,50.0
TST003429,2026-01-08,SCH0123,6,Science,Letter Grade,C,NA,56,70.0
TST004090,2025-08-08,SCH0320,8,Punjabi,pct,84.3%,100,88,84.3
TST000433,2025-10-24,SCH0143,4,Science,pct,77.5%,100,142,77.5
TST005553,2025-08-10,SCH0532,5,Science,Raw Marks,82.7/100,100,109,82.7
TST005497,2025-11-01,SCH0316,8,Mathematics,CGPA,4.8,10,68,48.0
TST007898,2025-01-04,SCH0090,4,Mathematics,Letter Grade,D,NA,125,60.0
TST001455,2026-05-02,SCH0547,4,Mathematics,CGPA,4.6,10,99,46.0
TST007611,2025-11-25,SCH0296,5,Science,Raw Marks,67.8/100,100,33,67.8
TST002296,2025-09-19,SCH0120,6,English,Raw Marks,64.5/100,100,39,64.5
TST001111,2025-08-30,SCH0372,3,Mathematics,Letter Grade,C,NA,137,70.0
TST004817,2025-03-05,SCH0105,6,Mathematics,CGPA,4.4,10,131,44.0
TST002738,2025-09-13,SCH0119,3,Mathematics,Letter Grade,B,NA,68,80.0
TST007115,2025-10-08,SCH0227,3,Hindi,Letter Grade,D,NA,117,60.0
TST003337,2025-04-25,SCH0593,7,Hindi,%,88.6%,100,96,88.6
TST003342,2025-07-23,SCH0072,7,Science,Letter Grade,C,NA,101,70.0
TST006663,2026-01-16,SCH0135,3,Punjabi,%,72.8%,100,144,72.8
TST003010,2025-10-09,SCH0276,7,Mathematics,Raw Marks,23.6/25,25,131,94.4
TST000987,2025-06-26,SCH0252,5,Punjabi,Percentage,40.9%,100,65,40.9
TST007610,2025-11-13,SCH0386,6,Mathematics,pct,80.4%,100,141,80.4
TST002898,2025-06-08,SCH0035,6,English,Letter Grade,C,NA,101,70.0
TST004641,2026-10-03,SCH0390,3,Mathematics,Raw Marks,25.6/50,50,148,51.2
TST007389,2025-11-18,SCH0056,3,Mathematics,Raw Marks,28.4/50,50,83,56.8
TST002490,2025-06-18,SCH0441,4,Punjabi,Letter Grade,B,NA,94,80.0
TST006711,2025-05-30,SCH0113,8,Science,Letter Grade,A+,NA,37,95.0
TST001234,2025-09-09,SCH0271,6,Hindi,%,91.1%,100,56,91.1
TST002378,2026-01-01,SCH0319,8,Mathematics,%,64.8%,100,77,64.8
TST007809,2026-01-28,SCH0446,3,Mathematics,CGPA,7.4,10,81,74.0
TST000715,2025-09-05,SCH0167,6,Science,Letter Grade,D,NA,23,60.0
TST001212,2025-06-08,SCH0339,7,Mathematics,Letter Grade,C,NA,21,70.0
TST004246,2026-03-17,SCH0240,8,Mathematics,CGPA,4.9,10,63,49.0
TST005005,2025-10-10,SCH0053,4,Science,CGPA,5.1,10,60,51.0
TST004219,2025-09-05,SCH0364,8,English,pct,57.9%,100,40,57.9
TST006903,2025-10-15,SCH0200,3,Hindi,Raw Marks,42.5/100,100,50,42.5
TST004645,2026-01-24,SCH0525,7,Science,CGPA,6.7,10,134,67.0
TST007598,2025-06-27,SCH0432,3,Mathematics,Raw Marks,22.4/25,25,58,89.6
TST001876,2026-01-15,SCH0558,5,Mathematics,Raw Marks,64.6/100,100,27,64.6
TST006752,2025-08-10,SCH0595,4,Punjabi,Raw Marks,19.2/25,25,100,76.8
TST005247,2025-04-28,SCH0591,6,Mathematics,%,85.1%,100,87,85.1
TST004242,2026-01-02,SCH0548,5,Science,Letter Grade,C,NA,40,70.0
