school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0292,Govt. Middle School Deo,SANGRUR,Sunam,82,UPPER PRIMARY,ENGLISH
SCH0095,Govt. Primary School Kanda,PATIALA,Nabha,199,HIGHER SECONDARY,PUNJABI
SCH0181,Govt. Primary School Lala,LUDHIANA,Ludhiana-II,351,HIGHER SECONDARY,ENGLISH
SCH0396,Govt. Senior Secondary School Deshmukh,MOGA,Moga-I,42,UPPER PRIMARY,HINDI
SCH0355,Govt. Primary School Tripathi,,Jalandhar-II,413,HIGHER SECONDARY,ENGLISH
SCH0551,Govt. Middle School Tara,MOGA,,110,UPPER PRIMARY,PUNJABI
SCH0335,Govt. Primary School Kota,AMRITSAR,Amritsar-II,94,HIGHER SECONDARY,HINDI
SCH0006,Govt. Primary School Bahri,MOGA,Moga-II,400,UPPER PRIMARY,PUNJABI
SCH0046,Govt. Elementary School Mody,MOGA,Bagha Purana,379,SECONDARY,ENGLISH
SCH0575,Govt. Middle School Nair,LUDHIANA,Doraha,251,SECONDARY,HINDI
SCH0417,Govt. Elementary School Ahuja,AMRITSAR,Tarn Taran,378,HIGHER SECONDARY,HINDI
SCH0526,Govt. Elementary School Raman,LUDHIANA,,81,UPPER PRIMARY,PUNJABI
SCH0017,Govt. Elementary School Pandit,AMRITSAR,Tarn Taran,75,UPPER PRIMARY,HINDI
SCH0049,Govt. Middle School Purohit,PATIALA,Rajpura,446,UPPER PRIMARY,HINDI
SCH0598,Govt. Primary School Warrior,BATHINDA,Maur,40,HIGHER SECONDARY,HINDI
SCH0564,Govt. Primary School Nair,BATHINDA,Talwandi Sabo,358,UPPER PRIMARY,HINDI
SCH0004,Govt. Elementary School Kaur,BATHINDA,,150,SECONDARY,ENGLISH
SCH0556,Govt. Middle School Dar,AMRITSAR,,261,HIGHER SECONDARY,HINDI
SCH0389,Govt. Primary School Borra,LUDHIANA,Machhiwara,191,HIGHER SECONDARY,HINDI
SCH0465,Govt. Senior Secondary School Banerjee,PATIALA,Rajpura,158,SECONDARY,ENGLISH
SCH0395,Govt. Elementary School Bose,SANGRUR,Sunam,201,UPPER PRIMARY,HINDI
SCH0226,Govt. Primary School Upadhyay,LUDHIANA,Doraha,374,UPPER PRIMARY,HINDI
SCH0027,Govt. Primary School Lal,SANGRUR,Sunam,137,PRIMARY,PUNJABI
SCH0584,Govt. Senior Secondary School Sahota,JALANDHAR,Phillaur,370,PRIMARY,ENGLISH
SCH0264,Govt. Elementary School Ghosh,LUDHIANA,Doraha,441,HIGHER SECONDARY,HINDI
SCH0051,Govt. Senior Secondary School Sarkar,PATIALA,Rajpura,352,PRIMARY,PUNJABI
SCH0230,Govt. Senior Secondary School Badal,PATIALA,Nabha,124,HIGHER SECONDARY,PUNJABI
SCH0038,Govt. Senior Secondary School Mandal,FEROZEPUR,Zira,61,PRIMARY,PUNJABI
SCH0158,Govt. Middle School Tella,MOGA,Nihal Singh Wala,138,UPPER PRIMARY,PUNJABI
SCH0238,Govt. Primary School Amble,PATIALA,Nabha,74,PRIMARY,PUNJABI
SCH0593,Govt. Middle School Iyer,JALANDHAR,Jalandhar-II,384,UPPER PRIMARY,PUNJABI
SCH0176,Govt. Elementary School Barad,MOGA,Bagha Purana,103,HIGHER SECONDARY,PUNJABI
SCH0520,Govt. Primary School Banerjee,SANGRUR,Malerkotla,44,SECONDARY,HINDI
SCH0437,Govt. Senior Secondary School Loyal,PATIALA,Rajpura,155,SECONDARY,HINDI
SCH0195,Govt. Elementary School Dhillon,SANGRUR,Malerkotla,368,HIGHER SECONDARY,PUNJABI
SCH0522,Govt. Primary School Lalla,PATIALA,Samana,185,SECONDARY,ENGLISH
SCH0384,Govt. Senior Secondary School Parekh,FEROZEPUR,Ferozepur,439,PRIMARY,HINDI
SCH0597,Govt. Senior Secondary School Zacharia,MOGA,Moga-II,354,HIGHER SECONDARY,HINDI
SCH0528,Govt. Senior Secondary School Sunder,PATIALA,Patiala,141,PRIMARY,ENGLISH
SCH0068,Govt. Primary School Mangat,AMRITSAR,Ajnala,390,PRIMARY,PUNJABI
SCH0415,Govt. Elementary School Mandal,LUDHIANA,,287,PRIMARY,ENGLISH
SCH0169,Govt. Elementary School Walia,,,102,HIGHER SECONDARY,PUNJABI
SCH0501,Govt. Primary School Devi,LUDHIANA,Doraha,241,UPPER PRIMARY,PUNJABI
SCH0163,Govt. Primary School Ratta,JALANDHAR,Nakodar,66,SECONDARY,HINDI
SCH0310,Govt. Elementary School Nair,SANGRUR,Malerkotla,409,UPPER PRIMARY,PUNJABI
SCH0194,Govt. Elementary School Suresh,AMRITSAR,Amritsar-I,368,SECONDARY,PUNJABI
SCH0153,Govt. Senior Secondary School Vohra,AMRITSAR,Amritsar-II,60,HIGHER SECONDARY,ENGLISH
SCH0351,Govt. Senior Secondary School Morar,PATIALA,Patiala,309,SECONDARY,ENGLISH
SCH0361,Govt. Elementary School Bumb,AMRITSAR,Amritsar-I,213,HIGHER SECONDARY,HINDI
SCH0227,Govt. Senior Secondary School Samra,FEROZEPUR,Makhu,393,SECONDARY,HINDI
SCH0357,Govt. Middle School Bhatti,MOGA,Nihal Singh Wala,45,UPPER PRIMARY,PUNJABI
SCH0104,Govt. Primary School Chacko,AMRITSAR,Amritsar-II,363,SECONDARY,PUNJABI
SCH0420,Govt. Elementary School Nair,AMRITSAR,Tarn Taran,267,HIGHER SECONDARY,PUNJABI
SCH0075,Govt. Middle School Mody,FEROZEPUR,Zira,196,SECONDARY,HINDI
SCH0452,Govt. Senior Secondary School Jaggi,PATIALA,Nabha,422,SECONDARY,ENGLISH
SCH0596,Govt. Middle School Tank,AMRITSAR,Tarn Taran,410,SECONDARY,HINDI
SCH0120,Govt. Middle School Sharaf,PATIALA,Rajpura,267,SECONDARY,ENGLISH
SCH0416,Govt. Middle School Batra,MOGA,Moga-I,400,UPPER PRIMARY,HINDI
SCH0439,Govt. Middle School Sankar,FEROZEPUR,,259,SECONDARY,PUNJABI
SCH0581,Govt. Elementary School Srivastava,MOGA,Nihal Singh Wala,353,PRIMARY,PUNJABI
SCH0208,Govt. Elementary School Rattan,BATHINDA,Bathinda,345,UPPER PRIMARY,HINDI
SCH0358,Govt. Elementary School Panchal,LUDHIANA,Ludhiana-I,237,HIGHER SECONDARY,PUNJABI
SCH0527,Govt. Senior Secondary School Bath,JALANDHAR,Jalandhar-II,168,PRIMARY,PUNJABI
SCH0366,Govt. Primary School Hari,FEROZEPUR,Zira,229,SECONDARY,PUNJABI
SCH0434,Govt. Primary School Bandi,JALANDHAR,Jalandhar-I,393,UPPER PRIMARY,PUNJABI
SCH0009,Govt. Middle School Bakshi,PATIALA,Samana,433,UPPER PRIMARY,PUNJABI
SCH0405,Govt. Primary School Agarwal,BATHINDA,Maur,254,PRIMARY,PUNJABI
SCH0037,Govt. Middle School More,LUDHIANA,Ludhiana-I,78,UPPER PRIMARY,HINDI
SCH0140,Govt. Middle School Garg,BATHINDA,Maur,426,SECONDARY,HINDI
SCH0254,Govt. Primary School Kapadia,SANGRUR,,70,HIGHER SECONDARY,HINDI
SCH0304,Govt. Senior Secondary School Dubey,SANGRUR,Dhuri,40,HIGHER SECONDARY,ENGLISH
SCH0529,Govt. Middle School Ganguly,MOGA,Moga-II,362,PRIMARY,PUNJABI
SCH0060,Govt. Elementary School Srinivas,FEROZEPUR,Makhu,382,HIGHER SECONDARY,HINDI
SCH0112,Govt. Senior Secondary School Bhagat,AMRITSAR,,198,PRIMARY,ENGLISH
SCH0502,Govt. Middle School Yogi,MOGA,Moga-I,46,HIGHER SECONDARY,ENGLISH
SCH0559,Govt. Elementary School Bera,FEROZEPUR,Makhu,390,PRIMARY,ENGLISH
SCH0381,Govt. Elementary School Varma,,Ferozepur,388,SECONDARY,PUNJABI
SCH0263,Govt. Elementary School Oak,LUDHIANA,Ludhiana-I,263,PRIMARY,ENGLISH
SCH0516,Govt. Middle School Misra,BATHINDA,Talwandi Sabo,360,UPPER PRIMARY,ENGLISH
SCH0298,Govt. Senior Secondary School Sibal,AMRITSAR,Amritsar-II,424,PRIMARY,HINDI
SCH0151,Govt. Primary School Dugar,AMRITSAR,Amritsar-I,354,HIGHER SECONDARY,HINDI
SCH0267,Govt. Elementary School Basak,AMRITSAR,Amritsar-II,84,HIGHER SECONDARY,PUNJABI
SCH0535,Govt. Elementary School Viswanathan,SANGRUR,Sunam,330,SECONDARY,HINDI
SCH0360,Govt. Senior Secondary School Bhat,BATHINDA,Bathinda,203,PRIMARY,HINDI
SCH0547,Govt. Middle School Lad,MOGA,Bagha Purana,251,HIGHER SECONDARY,HINDI
SCH0039,Govt. Senior Secondary School Baral,MOGA,Nihal Singh Wala,357,UPPER PRIMARY,PUNJABI
SCH0515,Govt. Elementary School Rattan,AMRITSAR,Amritsar-I,174,PRIMARY,HINDI
SCH0308,Govt. Middle School Butala,AMRITSAR,Amritsar-II,236,PRIMARY,HINDI
SCH0199,Govt. Elementary School Nath,MOGA,Bagha Purana,137,HIGHER SECONDARY,ENGLISH
SCH0498,Govt. Elementary School Pillay,MOGA,Moga-II,438,PRIMARY,HINDI
SCH0382,Govt. Primary School Lanka,MOGA,Bagha Purana,123,SECONDARY,PUNJABI
SCH0147,Govt. Senior Secondary School Das,MOGA,Bagha Purana,412,UPPER PRIMARY,HINDI
SCH0504,Govt. Senior Secondary School Barad,MOGA,Bagha Purana,245,UPPER PRIMARY,ENGLISH
SCH0549,Govt. Middle School Krishnamurthy,LUDHIANA,,185,UPPER PRIMARY,HINDI
SCH0148,Govt. Elementary School Sastry,JALANDHAR,Jalandhar-I,130,HIGHER SECONDARY,HINDI
SCH0450,Govt. Primary School Kurian,AMRITSAR,Amritsar-I,398,SECONDARY,ENGLISH
SCH0349,Govt. Primary School Jaggi,JALANDHAR,Jalandhar-II,343,SECONDARY,ENGLISH
SCH0326,Govt. Primary School Balasubramanian,FEROZEPUR,Makhu,178,SECONDARY,HINDI
SCH0421,Govt. Primary School Behl,SANGRUR,Sangrur,92,PRIMARY,HINDI
SCH0124,Govt. Middle School Goda,JALANDHAR,Nakodar,448,PRIMARY,HINDI
SCH0537,Govt. Senior Secondary School Jayaraman,FEROZEPUR,Zira,49,SECONDARY,PUNJABI
SCH0097,Govt. Middle School Prakash,SANGRUR,Sunam,236,UPPER PRIMARY,PUNJABI
SCH0144,Govt. Primary School Bakshi,FEROZEPUR,Mamdot,403,SECONDARY,HINDI
SCH0240,Govt. Senior Secondary School Mitter,MOGA,Bagha Purana,161,UPPER PRIMARY,ENGLISH
SCH0404,Govt. Primary School Keer,AMRITSAR,Ajnala,282,UPPER PRIMARY,PUNJABI
SCH0098,Govt. Elementary School Soman,MOGA,Bagha Purana,41,SECONDARY,PUNJABI
SCH0372,Govt. Senior Secondary School Mody,SANGRUR,Sangrur,442,HIGHER SECONDARY,HINDI
SCH0325,Govt. Elementary School Babu,MOGA,Nihal Singh Wala,116,PRIMARY,HINDI
SCH0280,Govt. Elementary School Modi,SANGRUR,Sunam,216,HIGHER SECONDARY,PUNJABI
SCH0294,Govt. Primary School Arora,MOGA,Moga-I,429,UPPER PRIMARY,HINDI
SCH0588,Govt. Senior Secondary School Sahota,JALANDHAR,Jalandhar-I,254,HIGHER SECONDARY,HINDI
SCH0123,Govt. Primary School Cheema,PATIALA,Nabha,159,UPPER PRIMARY,HINDI
SCH0184,Govt. Senior Secondary School Hora,SANGRUR,Dhuri,327,SECONDARY,ENGLISH
SCH0203,Govt. Middle School Grewal,PATIALA,Samana,323,HIGHER SECONDARY,HINDI
SCH0324,Govt. Primary School Sundaram,AMRITSAR,Amritsar-II,419,PRIMARY,PUNJABI
SCH0247,Govt. Senior Secondary School Barad,AMRITSAR,Tarn Taran,164,UPPER PRIMARY,ENGLISH
SCH0448,Govt. Senior Secondary School Sandal,LUDHIANA,Ludhiana-II,446,PRIMARY,PUNJABI
SCH0513,Govt. Primary School Sachdeva,LUDHIANA,Ludhiana-II,412,SECONDARY,PUNJABI
SCH0440,Govt. Middle School Devan,JALANDHAR,Jalandhar-I,118,PRIMARY,HINDI
SCH0546,Govt. Elementary School Prabhakar,JALANDHAR,Phillaur,298,UPPER PRIMARY,ENGLISH
SCH0418,Govt. Senior Secondary School Comar,LUDHIANA,,369,HIGHER SECONDARY,PUNJABI
SCH0126,Govt. Primary School Pillay,SANGRUR,Malerkotla,302,HIGHER SECONDARY,HINDI
SCH0403,Govt. Primary School Garde,LUDHIANA,Ludhiana-I,378,PRIMARY,PUNJABI
SCH0457,Govt. Elementary School Varty,AMRITSAR,Ajnala,357,UPPER PRIMARY,ENGLISH
SCH0443,Govt. Senior Secondary School Chakrabarti,SANGRUR,Sangrur,98,HIGHER SECONDARY,ENGLISH
SCH0224,Govt. Senior Secondary School Kunda,FEROZEPUR,Makhu,84,PRIMARY,HINDI
SCH0343,Govt. Elementary School Bassi,JALANDHAR,Jalandhar-I,354,UPPER PRIMARY,HINDI
SCH0054,Govt. Elementary School Bajwa,MOGA,Nihal Singh Wala,353,HIGHER SECONDARY,PUNJABI
SCH0220,Govt. Elementary School Mishra,JALANDHAR,Phillaur,130,PRIMARY,HINDI
SCH0130,Govt. Elementary School Mall,PATIALA,Rajpura,271,HIGHER SECONDARY,PUNJABI
SCH0560,Govt. Senior Secondary School Rajagopalan,PATIALA,Samana,216,PRIMARY,HINDI
SCH0423,Govt. Senior Secondary School Master,MOGA,,406,HIGHER SECONDARY,ENGLISH
SCH0480,Govt. Primary School Brar,,Makhu,136,PRIMARY,PUNJABI
SCH0562,Govt. Middle School Andra,AMRITSAR,,164,UPPER PRIMARY,PUNJABI
SCH0425,Govt. Senior Secondary School Wason,PATIALA,Nabha,101,HIGHER SECONDARY,PUNJABI
SCH0101,Govt. Elementary School Saxena,SANGRUR,,104,SECONDARY,PUNJABI
SCH0432,Govt. Elementary School Sura,SANGRUR,Dhuri,385,SECONDARY,HINDI
SCH0387,Govt. Middle School Varty,MOGA,Bagha Purana,192,HIGHER SECONDARY,ENGLISH
SCH0599,Govt. Senior Secondary School Vala,FEROZEPUR,Mamdot,63,UPPER PRIMARY,ENGLISH
SCH0295,Govt. Primary School Sule,BATHINDA,Bathinda,270,PRIMARY,HINDI
SCH0268,Govt. Primary School Amble,MOGA,Moga-I,345,SECONDARY,PUNJABI
SCH0495,Govt. Elementary School Sandal,MOGA,Moga-I,398,UPPER PRIMARY,ENGLISH
SCH0445,Govt. Primary School Wason,SANGRUR,Dhuri,62,UPPER PRIMARY,HINDI
SCH0113,Govt. Middle School Subramaniam,MOGA,Nihal Singh Wala,129,SECONDARY,ENGLISH
SCH0180,Govt. Elementary School Sha,MOGA,Nihal Singh Wala,180,PRIMARY,HINDI
SCH0451,Govt. Primary School Dasgupta,AMRITSAR,Ajnala,431,HIGHER SECONDARY,HINDI
SCH0494,Govt. Senior Secondary School Kurian,AMRITSAR,Tarn Taran,364,UPPER PRIMARY,PUNJABI
SCH0482,Govt. Elementary School Sibal,FEROZEPUR,Makhu,353,HIGHER SECONDARY,HINDI
SCH0374,Govt. Elementary School Yohannan,FEROZEPUR,Mamdot,332,PRIMARY,HINDI
SCH0315,Govt. Primary School Chakraborty,FEROZEPUR,,319,HIGHER SECONDARY,PUNJABI
SCH0152,Govt. Elementary School Dass,PATIALA,Samana,349,UPPER PRIMARY,ENGLISH
SCH0172,Govt. Primary School Konda,LUDHIANA,Machhiwara,231,PRIMARY,PUNJABI
SCH0234,Govt. Senior Secondary School Tak,MOGA,Nihal Singh Wala,269,HIGHER SECONDARY,ENGLISH
SCH0307,Govt. Elementary School Wali,,Rajpura,44,SECONDARY,PUNJABI
SCH0458,Govt. Senior Secondary School Murty,JALANDHAR,Nakodar,201,UPPER PRIMARY,PUNJABI
SCH0165,Govt. Middle School Mallick,PATIALA,Rajpura,218,HIGHER SECONDARY,PUNJABI
SCH0318,Govt. Elementary School Rout,JALANDHAR,Nakodar,240,PRIMARY,HINDI
SCH0137,Govt. Senior Secondary School Dani,FEROZEPUR,Ferozepur,112,PRIMARY,PUNJABI
SCH0411,Govt. Elementary School Narayanan,LUDHIANA,Ludhiana-II,379,SECONDARY,ENGLISH
SCH0198,Govt. Elementary School Sachar,PATIALA,Nabha,89,HIGHER SECONDARY,HINDI
SCH0571,Govt. Elementary School Gaba,PATIALA,Nabha,214,UPPER PRIMARY,HINDI
SCH0259,Govt. Primary School Munshi,SANGRUR,Dhuri,370,PRIMARY,HINDI
SCH0233,Govt. Senior Secondary School Mutti,,Ludhiana-I,281,HIGHER SECONDARY,PUNJABI
SCH0116,Govt. Middle School Gandhi,FEROZEPUR,Makhu,95,HIGHER SECONDARY,HINDI
SCH0121,Govt. Elementary School Deshmukh,LUDHIANA,,181,PRIMARY,HINDI
SCH0464,Govt. Elementary School Khalsa,JALANDHAR,Jalandhar-II,268,UPPER PRIMARY,PUNJABI
SCH0508,Govt. Senior Secondary School Kara,BATHINDA,Rampura Phul,50,SECONDARY,HINDI
SCH0377,Govt. Middle School Gandhi,PATIALA,Nabha,193,HIGHER SECONDARY,PUNJABI
SCH0385,Govt. Middle School Mane,LUDHIANA,Ludhiana-II,169,SECONDARY,PUNJABI
SCH0225,Govt. Middle School Chaudhry,LUDHIANA,Doraha,236,SECONDARY,HINDI
SCH0586,Govt. Elementary School Tailor,AMRITSAR,Amritsar-I,98,SECONDARY,HINDI
SCH0489,Govt. Elementary School Pant,JALANDHAR,Jalandhar-I,181,SECONDARY,HINDI
SCH0348,Govt. Elementary School Sarraf,BATHINDA,Bathinda,431,UPPER PRIMARY,HINDI
SCH0128,Govt. Primary School Walla,SANGRUR,Dhuri,77,SECONDARY,HINDI
SCH0446,Govt. Elementary School Kala,LUDHIANA,Ludhiana-I,147,UPPER PRIMARY,HINDI
SCH0286,Govt. Elementary School Badal,JALANDHAR,Nakodar,206,PRIMARY,ENGLISH
SCH0570,Govt. Primary School Padmanabhan,PATIALA,Samana,71,HIGHER SECONDARY,ENGLISH
SCH0044,Govt. Primary School Rajagopalan,FEROZEPUR,Makhu,413,HIGHER SECONDARY,HINDI
SCH0108,Govt. Middle School Warrior,SANGRUR,Malerkotla,386,PRIMARY,ENGLISH
SCH0523,Govt. Primary School Hora,AMRITSAR,Tarn Taran,356,HIGHER SECONDARY,HINDI
SCH0557,Govt. Senior Secondary School Raghavan,LUDHIANA,Machhiwara,174,HIGHER SECONDARY,PUNJABI
SCH0134,Govt. Elementary School Suri,BATHINDA,Rampura Phul,93,UPPER PRIMARY,PUNJABI
SCH0441,Govt. Primary School Gara,MOGA,Moga-I,441,UPPER PRIMARY,HINDI
SCH0062,Govt. Middle School Pradhan,JALANDHAR,Jalandhar-I,173,UPPER PRIMARY,PUNJABI
SCH0045,Govt. Senior Secondary School Divan,PATIALA,Samana,62,PRIMARY,PUNJABI
SCH0170,Govt. Middle School Mallick,LUDHIANA,Ludhiana-II,407,HIGHER SECONDARY,PUNJABI
SCH0066,Govt. Senior Secondary School Devan,MOGA,Moga-II,350,PRIMARY,PUNJABI
SCH0284,Govt. Senior Secondary School Prakash,PATIALA,Rajpura,362,HIGHER SECONDARY,PUNJABI
SCH0086,Govt. Middle School Tata,BATHINDA,Maur,257,UPPER PRIMARY,PUNJABI
SCH0243,Govt. Senior Secondary School Deep,BATHINDA,Maur,277,HIGHER SECONDARY,ENGLISH
SCH0187,Govt. Primary School Chaudhari,PATIALA,Patiala,142,UPPER PRIMARY,HINDI
SCH0327,Govt. Middle School Muni,LUDHIANA,Machhiwara,75,SECONDARY,HINDI
SCH0160,Govt. Middle School Munshi,JALANDHAR,Phillaur,62,UPPER PRIMARY,PUNJABI
SCH0013,Govt. Middle School Contractor,BATHINDA,Bathinda,388,SECONDARY,PUNJABI
SCH0036,Govt. Elementary School Solanki,LUDHIANA,Doraha,434,SECONDARY,PUNJABI
SCH0029,Govt. Primary School Lad,AMRITSAR,Amritsar-II,246,UPPER PRIMARY,PUNJABI
SCH0171,Govt. Primary School Dasgupta,JALANDHAR,Jalandhar-I,308,PRIMARY,PUNJABI
SCH0143,Govt. Elementary School Venkataraman,PATIALA,Samana,76,PRIMARY,ENGLISH
SCH0237,Govt. Elementary School Sood,JALANDHAR,Nakodar,136,PRIMARY,PUNJABI
SCH0497,Govt. Senior Secondary School Wali,SANGRUR,Sunam,160,SECONDARY,HINDI
SCH0517,Govt. Senior Secondary School Mangat,SANGRUR,Dhuri,316,HIGHER SECONDARY,PUNJABI
SCH0580,Govt. Primary School Apte,SANGRUR,Malerkotla,274,HIGHER SECONDARY,PUNJABI
SCH0222,Govt. Middle School Edwin,SANGRUR,Sunam,298,UPPER PRIMARY,PUNJABI
SCH0591,Govt. Senior Secondary School Anand,LUDHIANA,,320,UPPER PRIMARY,ENGLISH
SCH0096,Govt. Elementary School Walia,JALANDHAR,Phillaur,406,SECONDARY,HINDI
SCH0052,Govt. Primary School Kannan,SANGRUR,Dhuri,164,PRIMARY,HINDI
SCH0241,Govt. Middle School Dass,LUDHIANA,Ludhiana-II,360,HIGHER SECONDARY,PUNJABI
SCH0525,Govt. Elementary School Karpe,LUDHIANA,Machhiwara,151,SECONDARY,PUNJABI
SCH0352,Govt. Middle School Jayaraman,,Nakodar,70,UPPER PRIMARY,ENGLISH
SCH0533,Govt. Elementary School Tailor,AMRITSAR,Amritsar-II,289,SECONDARY,PUNJABI
SCH0179,Govt. Elementary School Raman,BATHINDA,Rampura Phul,268,HIGHER SECONDARY,PUNJABI
SCH0461,Govt. Primary School Ramachandran,BATHINDA,Bathinda,412,PRIMARY,HINDI
SCH0543,Govt. Primary School Dey,LUDHIANA,Ludhiana-I,195,UPPER PRIMARY,HINDI
SCH0042,Govt. Elementary School Bhatnagar,FEROZEPUR,Makhu,182,SECONDARY,HINDI
SCH0572,Govt. Middle School Dey,PATIALA,Rajpura,163,HIGHER SECONDARY,HINDI
SCH0539,Govt. Senior Secondary School Kalita,AMRITSAR,Amritsar-I,307,PRIMARY,PUNJABI
SCH0207,Govt. Primary School Kaul,SANGRUR,Malerkotla,283,SECONDARY,HINDI
SCH0393,Govt. Senior Secondary School Bava,BATHINDA,Talwandi Sabo,100,PRIMARY,PUNJABI
SCH0283,Govt. Middle School Reddy,AMRITSAR,Amritsar-II,419,UPPER PRIMARY,PUNJABI
SCH0359,Govt. Primary School Bhavsar,MOGA,Nihal Singh Wala,91,UPPER PRIMARY,PUNJABI
SCH0398,Govt. Primary School Narasimhan,PATIALA,Samana,47,UPPER PRIMARY,HINDI
SCH0255,Govt. Middle School Barman,FEROZEPUR,,48,SECONDARY,PUNJABI
SCH0518,Govt. Elementary School Sibal,FEROZEPUR,Makhu,217,UPPER PRIMARY,PUNJABI
SCH0218,Govt. Senior Secondary School Dugar,LUDHIANA,Ludhiana-II,248,HIGHER SECONDARY,ENGLISH
SCH0005,Govt. Elementary School Bajwa,BATHINDA,,413,PRIMARY,ENGLISH
SCH0550,Govt. Senior Secondary School Mittal,PATIALA,,51,SECONDARY,PUNJABI
SCH0099,Govt. Middle School Korpal,SANGRUR,Malerkotla,210,HIGHER SECONDARY,HINDI
SCH0407,Govt. Elementary School Mitter,BATHINDA,Maur,60,UPPER PRIMARY,PUNJABI
SCH0503,Govt. Elementary School Lala,JALANDHAR,Nakodar,161,SECONDARY,PUNJABI
SCH0048,Govt. Middle School Chana,FEROZEPUR,Ferozepur,195,HIGHER SECONDARY,PUNJABI
SCH0033,Govt. Primary School Shroff,BATHINDA,Bathinda,381,SECONDARY,HINDI
SCH0201,Govt. Primary School Sagar,LUDHIANA,Doraha,293,HIGHER SECONDARY,PUNJABI
SCH0135,Govt. Primary School Raghavan,MOGA,Bagha Purana,98,UPPER PRIMARY,ENGLISH
SCH0028,Govt. Primary School Sengupta,LUDHIANA,Machhiwara,297,UPPER PRIMARY,PUNJABI
SCH0541,Govt. Senior Secondary School Badami,BATHINDA,Bathinda,227,PRIMARY,PUNJABI
SCH0231,Govt. Primary School Datta,AMRITSAR,Tarn Taran,68,HIGHER SECONDARY,ENGLISH
SCH0490,Govt. Middle School Dutta,LUDHIANA,Ludhiana-I,86,SECONDARY,HINDI
SCH0379,Govt. Primary School Balay,JALANDHAR,Jalandhar-I,199,HIGHER SECONDARY,HINDI
SCH0289,Govt. Elementary School Mohanty,FEROZEPUR,Mamdot,345,HIGHER SECONDARY,HINDI
SCH0419,Govt. Elementary School Sarkar,MOGA,Moga-II,209,PRIMARY,HINDI
SCH0392,Govt. Middle School Kara,AMRITSAR,Amritsar-II,221,SECONDARY,HINDI
SCH0499,Govt. Middle School Oak,LUDHIANA,Machhiwara,230,HIGHER SECONDARY,HINDI
SCH0139,Govt. Elementary School Lata,JALANDHAR,Jalandhar-I,385,HIGHER SECONDARY,PUNJABI
SCH0063,Govt. Primary School Singhal,BATHINDA,Talwandi Sabo,169,HIGHER SECONDARY,ENGLISH
SCH0472,Govt. Senior Secondary School Nazareth,JALANDHAR,,108,PRIMARY,ENGLISH
SCH0129,Govt. Elementary School Malhotra,MOGA,,345,HIGHER SECONDARY,PUNJABI
SCH0521,Govt. Senior Secondary School Sharaf,FEROZEPUR,Mamdot,242,HIGHER SECONDARY,PUNJABI
SCH0065,Govt. Senior Secondary School Palla,JALANDHAR,Jalandhar-II,104,PRIMARY,ENGLISH
SCH0015,Govt. Primary School Brahmbhatt,BATHINDA,Maur,118,UPPER PRIMARY,PUNJABI
SCH0157,Govt. Middle School Keer,JALANDHAR,Jalandhar-I,370,SECONDARY,HINDI
SCH0041,Govt. Senior Secondary School Kuruvilla,SANGRUR,Sunam,142,HIGHER SECONDARY,HINDI
SCH0493,Govt. Primary School Bhattacharyya,SANGRUR,Sunam,427,HIGHER SECONDARY,ENGLISH
SCH0380,Govt. Middle School Minhas,LUDHIANA,Ludhiana-II,56,SECONDARY,PUNJABI
SCH0188,Govt. Elementary School Vig,MOGA,Nihal Singh Wala,322,PRIMARY,PUNJABI
SCH0217,Govt. Primary School Apte,PATIALA,Nabha,66,SECONDARY,HINDI
SCH0053,Govt. Elementary School Tailor,JALANDHAR,Phillaur,65,PRIMARY,HINDI
SCH0338,Govt. Senior Secondary School Wali,BATHINDA,,55,HIGHER SECONDARY,PUNJABI
SCH0296,Govt. Senior Secondary School Dash,PATIALA,Samana,403,HIGHER SECONDARY,HINDI
SCH0252,Govt. Primary School Krish,SANGRUR,Sunam,317,PRIMARY,PUNJABI
SCH0462,Govt. Senior Secondary School Gulati,FEROZEPUR,Zira,58,HIGHER SECONDARY,HINDI
SCH0456,Govt. Middle School Bhatnagar,BATHINDA,Bathinda,168,HIGHER SECONDARY,HINDI
SCH0270,Govt. Primary School Nadkarni,JALANDHAR,Jalandhar-I,125,HIGHER SECONDARY,HINDI
SCH0202,Govt. Elementary School Karpe,JALANDHAR,,412,HIGHER SECONDARY,HINDI
SCH0162,Govt. Elementary School Deshpande,SANGRUR,Dhuri,433,HIGHER SECONDARY,HINDI
SCH0402,Govt. Primary School Chakraborty,PATIALA,Patiala,341,PRIMARY,ENGLISH
SCH0477,Govt. Primary School Gupta,LUDHIANA,Ludhiana-I,87,UPPER PRIMARY,PUNJABI
SCH0106,Govt. Primary School Shanker,FEROZEPUR,Zira,165,UPPER PRIMARY,PUNJABI
SCH0390,Govt. Middle School Dutt,PATIALA,Samana,411,HIGHER SECONDARY,HINDI
SCH0002,Govt. Primary School Dewan,,Tarn Taran,56,UPPER PRIMARY,HINDI
SCH0576,Govt. Senior Secondary School Tripathi,,Amritsar-II,134,SECONDARY,HINDI
SCH0081,Govt. Middle School Batta,FEROZEPUR,,77,PRIMARY,HINDI
SCH0206,Govt. Middle School Menon,JALANDHAR,Nakodar,353,HIGHER SECONDARY,HINDI
SCH0035,Govt. Elementary School Setty,BATHINDA,Talwandi Sabo,168,PRIMARY,PUNJABI
